Life expectancy at birth (years) - WHO 2015 data published in May 2016,,
,,
Member State,Male,Female
Afghanistan,59.3,61.9
Albania,75.1,80.7
Algeria,73.8,77.5
Andorra,�,�
Angola,50.9,54.0
Antigua and Barbuda,74.1,78.6
Argentina,72.7,79.9
Armenia,71.6,77.7
Australia,80.9,84.8
Austria,79.0,83.9
Azerbaijan,69.6,75.8
Bahamas,72.9,79.1
Bahrain,76.2,77.9
Bangladesh,70.6,73.1
Barbados,73.1,77.9
Belarus,66.5,78.0
Belgium,78.6,83.5
Belize,67.5,73.1
Benin,58.8,61.1
Bhutan,69.5,70.1
Bolivia (Plurinational State of),68.2,73.3
Bosnia and Herzegovina,75.0,79.7
Botswana,63.3,68.1
Brazil,71.4,78.7
Brunei Darussalam,76.3,79.2
Bulgaria,71.1,78.0
Burkina Faso,59.1,60.5
Burundi,57.7,61.6
Cabo Verde,71.3,75.0
Cambodia,66.6,70.7
Cameroon,55.9,58.6
Canada,80.2,84.1
Central African Republic,50.9,54.1
Chad,51.7,54.5
Chile,77.4,83.4
China,74.6,77.6
Colombia,71.2,78.4
Comoros,61.9,65.2
Congo,63.2,66.3
Cook Islands,�,�
Costa Rica,77.1,82.2
Côte d'Ivoire,52.3,54.4
Croatia,74.7,81.2
Cuba,76.9,81.4
Cyprus,78.3,82.7
Czech Republic,75.9,81.7
Democratic People's Republic of Korea,67.0,74.0
Democratic Republic of the Congo,58.3,61.5
Denmark,78.6,82.5
Djibouti,61.8,65.3
Dominica,�,�
Dominican Republic,70.9,77.1
Ecuador,73.5,79.0
Egypt,68.8,73.2
El Salvador,68.8,77.9
Equatorial Guinea,56.6,60.0
Eritrea,62.4,67.0
Estonia,72.7,82.0
Ethiopia,62.8,66.8
Fiji,67.0,73.1
Finland,78.3,83.8
France,79.4,85.4
Gabon,64.7,67.2
Gambia,59.8,62.5
Georgia,70.3,78.3
Germany,78.7,83.4
Ghana,61.0,63.9
Greece,78.3,83.6
Grenada,71.2,76.1
Guatemala,68.5,75.2
Guinea,58.2,59.8
Guinea-Bissau,57.2,60.5
Guyana,63.9,68.5
Haiti,61.5,65.5
Honduras,72.3,77.0
Hungary,72.3,79.1
Iceland,81.2,84.1
India,66.9,69.9
Indonesia,67.1,71.2
Iran (Islamic Republic of),74.5,76.6
Iraq,66.2,71.8
Ireland,79.4,83.4
Israel,80.6,84.3
Italy,80.5,84.8
Jamaica,73.9,78.6
Japan,80.5,86.8
Jordan,72.5,75.9
Kazakhstan,65.7,74.7
Kenya,61.1,65.8
Kiribati,63.7,68.8
Kuwait,73.7,76.0
Kyrgyzstan,67.2,75.1
Lao People's Democratic Republic,64.1,67.2
Latvia,69.6,79.2
Lebanon,73.5,76.5
Lesotho,51.7,55.4
Liberia,59.8,62.9
Libya,70.1,75.6
Lithuania,68.1,79.1
Luxembourg,79.8,84.0
Madagascar,63.9,67.0
Malawi,56.7,59.9
Malaysia,72.7,77.3
Maldives,76.9,80.2
Mali,58.2,58.3
Malta,79.7,83.7
Marshall Islands,�,�
Mauritania,61.6,64.6
Mauritius,71.4,77.8
Mexico,73.9,79.5
Micronesia (Federated States of),68.1,70.6
Monaco,�,�
Mongolia,64.7,73.2
Montenegro,74.1,78.1
Morocco,73.3,75.4
Mozambique,55.7,59.4
Myanmar,64.6,68.5
Namibia,63.1,68.3
Nauru,�,�
Nepal,67.7,70.8
Netherlands,80.0,83.6
New Zealand,80.0,83.3
Nicaragua,71.5,77.9
Niger,60.9,62.8
Nigeria,53.4,55.6
Niue,�,�
Norway,79.8,83.7
Oman,75.0,79.2
Pakistan,65.5,67.5
Palau,�,�
Panama,74.7,81.1
Papua New Guinea,60.6,65.4
Paraguay,72.2,76.0
Peru,73.1,78.0
Philippines,65.3,72.0
Poland,73.6,81.3
Portugal,78.2,83.9
Qatar,77.4,80.0
Republic of Korea,78.8,85.5
Republic of Moldova,67.9,76.2
Romania,71.4,78.8
Russian Federation,64.7,76.3
Rwanda,60.9,71.1
Saint Kitts and Nevis,�,�
Saint Lucia,72.6,77.9
Saint Vincent and the Grenadines,71.3,75.2
Samoa,70.9,77.5
San Marino,�,�
Sao Tome and Principe,65.6,69.4
Saudi Arabia,73.2,76.0
Senegal,64.6,68.6
Serbia,72.9,78.4
Seychelles,69.1,78.0
Sierra Leone,49.3,50.8
Singapore,80.0,86.1
Slovakia,72.9,80.2
Slovenia,77.9,83.7
Solomon Islands,67.9,70.8
Somalia,53.5,56.6
South Africa,59.3,66.2
South Sudan,56.1,58.6
Spain,80.1,85.5
Sri Lanka,71.6,78.3
Sudan,62.4,65.9
Suriname,68.6,74.7
Swaziland,56.6,61.1
Sweden,80.7,84.0
Switzerland,81.3,85.3
Syrian Arab Republic,59.9,69.9
Tajikistan,66.6,73.6
Thailand,71.9,78.0
The former Yugoslav Republic of Macedonia,73.5,77.8
Timor-Leste,66.6,70.1
Togo,58.6,61.1
Tonga,70.6,76.4
Trinidad and Tobago,67.9,74.8
Tunisia,73.0,77.8
Turkey,72.6,78.9
Turkmenistan,62.2,70.5
Tuvalu,�,�
Uganda,60.3,64.3
Ukraine,66.3,76.1
United Arab Emirates,76.4,78.6
United Kingdom,79.4,83.0
United Republic of Tanzania,59.9,63.8
United States of America,76.9,81.6
Uruguay,73.3,80.4
Uzbekistan,66.1,72.7
Vanuatu,70.1,74.0
Venezuela (Bolivarian Republic of),70.0,78.5
Viet Nam,71.3,80.7
Yemen,64.3,67.2
Zambia,59.0,64.7
Zimbabwe,59.0,62.3
,,
WHO region,,
African Region,58.2,61.7
Region of the Americas,74.0,79.9
South-East Asia Region,67.3,70.7
European Region,73.2,80.2
Eastern Mediterranean Region,67.4,70.4
Western Pacific Region,74.5,78.7
,,
Global,69.1,73.8
