Life expectancy at birth (years) - WHO 2016 data published in 2018,,,
,,,
Member State,Male,Female,Both sexes
Afghanistan,61.0,64.5,62.7
Albania,74.3,78.6,76.4
Algeria,75.4,77.4,76.4
Andorra,-,-,-
Angola,60.3,64.9,62.6
Antigua and Barbuda,72.5,77.5,75.0
Argentina,73.5,80.3,76.9
Armenia,71.2,78.1,74.8
Australia,81.0,84.8,82.9
Austria,79.4,84.2,81.9
Azerbaijan,70.3,75.7,73.1
Bahamas,72.6,78.6,75.7
Bahrain,78.6,79.6,79.1
Bangladesh,71.1,74.4,72.7
Barbados,73.1,78.0,75.6
Belarus,68.8,79.2,74.2
Belgium,78.8,83.5,81.2
Belize,67.9,73.4,70.5
Benin,59.7,62.4,61.1
Bhutan,70.4,70.8,70.6
Bolivia (Plurinational State of),69.1,74.0,71.5
Bosnia and Herzegovina,74.8,79.8,77.3
Botswana,63.6,68.4,66.1
Brazil,71.4,78.9,75.1
Brunei Darussalam,75.3,77.6,76.4
Bulgaria,71.4,78.4,74.8
Burkina Faso,59.6,60.9,60.3
Burundi,58.5,61.8,60.1
Cabo Verde,71.1,75.0,73.2
Cambodia,67.3,71.2,69.4
Cameroon,56.7,59.4,58.1
Canada,80.9,84.7,82.8
Central African Republic,51.7,54.4,53.0
Chad,53.1,55.4,54.3
Chile,76.5,82.4,79.5
China,75.0,77.9,76.4
Colombia,71.5,78.8,75.1
Comoros,62.3,65.5,63.9
Congo,63.0,65.6,64.3
Cook Islands,-,-,-
Costa Rica,77.0,82.2,79.6
Côte d'Ivoire,53.6,55.7,54.6
Croatia,75.0,81.5,78.3
Cuba,76.8,81.3,79.0
Cyprus,78.4,83.1,80.7
Czechia,76.2,82.1,79.2
Democratic People's Republic of Korea,68.2,75.5,71.9
Democratic Republic of the Congo,58.9,62.0,60.5
Denmark,79.3,83.2,81.2
Djibouti,62.2,65.5,63.8
Dominica,-,-,-
Dominican Republic,70.6,76.7,73.5
Ecuador,74.1,78.9,76.5
Egypt,68.2,73.0,70.5
El Salvador,69.0,78.1,73.7
Equatorial Guinea,57.9,61.7,59.5
Eritrea,62.9,67.1,65.0
Estonia,73.0,82.1,77.8
Ethiopia,63.7,67.3,65.5
Fiji,67.1,73.1,69.9
Finland,78.7,84.2,81.4
